Sentiments,Reviews
negative,"Not true to the given size,the diffuser broke as I put it on my dryer"
negative,"order a room cooler via daraz app, received cooler but I'm not satisfied with the product as poor plastic and poor fittings of plastic at corners. product was broken also"
positive,good quality in this price
positive,good product original product delivery on time.thanks daraz n saller
neutral,small size 😡 quality normal
neutral,"item received in time , no doubt quality is super fine but packing is compromised , it needs to be more improvement in packing"
negative,Very poor
positive,nice worked 
positive,Wowwww amazing stuff and fast delivery and this material is amazing this my first but I happy to see perfect time and staff thank you daraz and rider 
positive,Satisfactory quality
positive,buht zabadast buht ala goid seller he 
positive,very good product 
negative,"no expired Date mentioned on both bottle,it expired"
positive,I got my parsal thank you its so beautiful and nice 🙂🙂
negative,"I never received the product,seller has no regard for costumer service. No help from seller"
positive,Accurate reading and reasonable price.
neutral,"At first, it thought it's a pretty good purchase as the sound quality was good and it was delivered on time . However after using for just one month, one of the airpods stopped working and few weeks later the same happened with the other. 
So you can buy this only if you have the money for buying another pair after a month."
negative,Quality looks ok but I recieved a damaged product as shown in the pictures.
negative,Poor quality and no flavor
neutral,dress was good.. fabric quality z normal..just ok.delivery on time thiz z good thing
positive,it's too good🌟
negative,"worst experience ever the same product can be bought at much lower price box was damaged, wire also damaged near the earset side"
positive,Gionee Handsfree very. good and deliver on time
negative,Koi khass nahi hai 
positive,Blower and vacuum both.
negative,it was a cheap product .... cheap quality... Small size
negative,Received my parcel the quality is not good and color is not the same as in the picture
positive,Quality product
positive,Received brand new working fine With free installation within 2 days
positive,superb quality . excellent product 10/10
negative,The seller send me vitamin e oil rather than tea tree oil. . Really disappointed. .
neutral,One of the lid is loose otherwise okay
negative,Nh mila parsel
positive,daraz mart is an easy way for grocery shopping 🛒
negative,It is working but it is not rechargeable and it's volume button is damaged 😞.I am really disappointed.
positive,Really Very good and Good Product I Like it Very Much. This is My 1st Order nd it's really works good .. Thanks Daraz and Seller Highly Recomanded...
positive,💯 satisfied... Recommend
positive,Fresh and good quality. Highly recommended.. 
positive,Good Quality and Working great 👍
positive,v nice stars .my kids r so happy thanks 👍 Daraz
positive,"fresh
highly recommended "
negative,Fazool hai handsfree ..aik din mein hi khrab ho gai .
positive,ya cheez ha.. acha band lite ma kafi achy lagty ha...band lite ma camry ma show ni hoty... 
negative,low quality product received broken very low quality
neutral,"It's good, size is small, hardly one small thing can be keep in it, zip quality is also average. "
negative,canvas r not so good as compared to picture
positive,"It is same as shown in pics and works very well, it's a good quality product. Thankyou seller."
positive,"Bahaot achi quality ka pouches hain ap apni koi bh chez is ma save rkh skty jsy airpords,charging cable,USB or cash bh or ya pocket ma bh easily a jata ma to dubara order krny lga hu ku ka daraz quality ko prefer krta ha islea ma na jb bh koi chez mangwani ho daraz sa mangwata thanku so much daraz ma sb ko suggest kro ga ka daraz sa order kia kry inky rates bahaot reasonable hoty hain"
positive,Thank you ❤️ Daraz and Thank you the seller. The seller very nice person and listened my every instruction. 💯 Recommended the seller. Best response and quick. The design as you want. 😊 I am satisfied customer. 😊 Again thank you ❤️ ❤️ Seller.
neutral,Haven't use yet....will surely use and share reviews
positive,thank you 💕💕 so much seller and daraz 
positive,Very surprised and excited that daraz delivered my order on next day and Haier team installed ac on same day. Ac cooling and throw is also very good.
positive,"Amazing Product Receive from Draz in just 1040...
i love it.Thanx Daraz."
positive,bags ache Hain AGR kpre k hote to
negative,I order black but they sent white chain so beware from the store 😣😣😣
positive,Thank you soo much for gift 100% original sound is very smooth ❤
positive,Dekhna m Thk hy mena abi use ne ki 😁
negative,battery timing kharab or right wla ni sai kharab hai 
positive,good thanks daraz
positive,I really like the quality. Bought it for my sister's birthday gift. She really liked it. Keep it up
positive,fresh potato as mentioned. big size .
positive,Product is good as per price
positive,I received my parcel yesterday. It's very nice. Deliver in time .. same as shown in picture. I 'll Recommended. thanks seller thanks daraz.💖
negative,No shain star
negative,Got the item broken.
positive,looks good. I tried after lights off and shine
negative,Well the product looks like it’s in the picture but the quality is super low! Won’t recommend
